article;vehicleClass;amount;points;Case ID;Activity;Resource;lastSent;notificationType;dismissal;expense;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases;label
7.0;A;44.0;0.0;A10018;Add penalty;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;0.0;288000.0;4;10906;regular
7.0;A;44.0;0.0;A10018;Payment;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;86400.0;288000.0;5;10905;regular
157.0;A;36.0;0.0;A10019;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7819;deviant
157.0;A;36.0;0.0;A10019;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;168480.0;168480.0;2;9347;deviant
157.0;A;36.0;0.0;A10019;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;177120.0;3;9570;deviant
157.0;A;74.0;0.0;A10019;Add penalty;537.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;263520.0;4;10813;deviant
7.0;A;21.0;0.0;A1002;Create Fine;550.0;missing;missing;NIL;0.0;2006-08-05 01:00:00;60;8;5;1;0.0;0.0;1;11321;deviant
7.0;A;21.0;0.0;A1002;Send Fine;550.0;missing;missing;NIL;11.0;2006-12-12 01:00:00;60;12;1;1;185760.0;185760.0;2;12380;deviant
7.0;A;21.0;0.0;A1002;Insert Fine Notification;550.0;P;P;NIL;11.0;2007-01-03 01:00:00;60;1;2;1;31680.0;217440.0;3;12262;deviant
7.0;A;42.5;0.0;A1002;Add penalty;550.0;P;P;NIL;11.0;2007-03-04 01:00:00;60;3;6;1;86400.0;303840.0;4;7705;deviant
157.0;A;36.0;0.0;A10021;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7820;deviant
157.0;A;36.0;0.0;A10021;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;191520.0;191520.0;2;9838;deviant
157.0;A;36.0;0.0;A10021;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-09 01:00:00;60;8;3;1;10080.0;201600.0;3;10113;deviant
157.0;A;74.0;0.0;A10021;Add penalty;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;86400.0;288000.0;4;10905;deviant
7.0;A;22.0;0.0;A10022;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7821;regular
7.0;A;22.0;0.0;A10022;Payment;537.0;missing;missing;NIL;0.0;2007-03-28 01:00:00;60;3;2;1;8640.0;8640.0;2;7824;regular
157.0;A;36.0;0.0;A10023;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7822;deviant
157.0;A;36.0;0.0;A10023;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;168480.0;168480.0;2;9347;deviant
157.0;A;36.0;0.0;A10023;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-25 01:00:00;60;7;2;1;11520.0;180000.0;3;9586;deviant
157.0;A;74.0;0.0;A10023;Add penalty;537.0;P;P;NIL;13.0;2007-09-23 01:00:00;60;9;6;1;86400.0;266400.0;4;10828;deviant
157.0;A;36.0;0.0;A10024;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7823;regular
157.0;A;36.0;0.0;A10024;Payment;537.0;missing;missing;NIL;0.0;2007-03-26 01:00:00;60;3;0;1;5760.0;5760.0;2;7828;regular
157.0;A;36.0;0.0;A10025;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7824;deviant
157.0;A;36.0;0.0;A10025;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;191520.0;191520.0;2;9838;deviant
157.0;A;36.0;0.0;A10025;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-09 01:00:00;60;8;3;1;10080.0;201600.0;3;10113;deviant
157.0;A;74.0;0.0;A10025;Add penalty;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;86400.0;288000.0;4;10905;deviant
157.0;A;36.0;0.0;A10026;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7825;deviant
157.0;A;36.0;0.0;A10026;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;168480.0;168480.0;2;9347;deviant
157.0;A;36.0;0.0;A10026;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-07-25 01:00:00;60;7;2;1;11520.0;180000.0;3;9586;deviant
157.0;A;74.0;0.0;A10026;Add penalty;537.0;P;P;NIL;13.0;2007-09-23 01:00:00;60;9;6;1;86400.0;266400.0;4;10828;deviant
157.0;A;36.0;0.0;A10029;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7826;regular
157.0;A;36.0;0.0;A10029;Payment;537.0;missing;missing;NIL;0.0;2007-04-10 01:00:00;60;4;1;1;27360.0;27360.0;2;7985;regular
7.0;A;22.0;0.0;A10030;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-22 01:00:00;60;3;3;1;0.0;0.0;1;7827;regular
7.0;A;22.0;0.0;A10030;Payment;537.0;missing;missing;NIL;0.0;2007-03-26 01:00:00;60;3;0;1;5760.0;5760.0;2;7827;regular
157.0;A;36.0;0.0;A10033;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-23 01:00:00;60;3;4;1;0.0;0.0;1;7822;regular
157.0;A;36.0;0.0;A10033;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;190080.0;190080.0;2;9838;regular
157.0;A;36.0;0.0;A10033;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-19 01:00:00;60;8;6;1;24480.0;214560.0;3;10552;regular
157.0;A;74.0;0.0;A10033;Add penalty;537.0;P;P;NIL;13.0;2007-10-18 01:00:00;60;10;3;1;86400.0;300960.0;4;10950;regular
157.0;A;74.0;0.0;A10033;Payment;537.0;P;P;NIL;13.0;2008-09-13 01:00:00;60;9;5;1;476640.0;777600.0;5;14463;regular
157.0;A;36.0;0.0;A10034;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-23 01:00:00;60;3;4;1;0.0;0.0;1;7823;deviant
157.0;A;36.0;0.0;A10034;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;190080.0;190080.0;2;9838;deviant
157.0;A;36.0;0.0;A10034;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-20 01:00:00;60;8;0;1;25920.0;216000.0;3;10616;deviant
157.0;A;74.0;0.0;A10034;Add penalty;537.0;P;P;NIL;13.0;2007-10-19 01:00:00;60;10;4;1;86400.0;302400.0;4;10944;deviant
157.0;A;36.0;0.0;A10042;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-24 01:00:00;60;3;5;1;0.0;0.0;1;7777;regular
157.0;A;36.0;0.0;A10042;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;188640.0;188640.0;2;9838;regular
157.0;A;36.0;0.0;A10042;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-09 01:00:00;60;8;3;1;10080.0;198720.0;3;10113;regular
157.0;A;74.0;0.0;A10042;Add penalty;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;86400.0;285120.0;4;10905;regular
157.0;A;74.0;0.0;A10042;Payment;537.0;P;P;NIL;13.0;2007-10-23 01:00:00;60;10;1;1;21600.0;306720.0;5;10960;regular
157.0;A;74.0;0.0;A10042;Payment;537.0;P;P;NIL;13.0;2007-11-13 01:00:00;60;11;1;1;30240.0;336960.0;6;10772;regular
157.0;A;36.0;0.0;A10043;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-24 01:00:00;60;3;5;1;0.0;0.0;1;7778;regular
157.0;A;36.0;0.0;A10043;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;188640.0;188640.0;2;9838;regular
157.0;A;36.0;0.0;A10043;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-10 01:00:00;60;8;4;1;11520.0;200160.0;3;10117;regular
157.0;A;74.0;0.0;A10043;Add penalty;537.0;P;P;NIL;13.0;2007-10-09 01:00:00;60;10;1;1;86400.0;286560.0;4;10905;regular
157.0;A;74.0;0.0;A10043;Payment;537.0;P;P;NIL;13.0;2008-10-10 01:00:00;60;10;4;1;528480.0;815040.0;5;14335;regular
157.0;A;36.0;0.0;A10044;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-24 01:00:00;60;3;5;1;0.0;0.0;1;7779;deviant
157.0;A;36.0;0.0;A10044;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;188640.0;188640.0;2;9838;deviant
157.0;A;36.0;0.0;A10044;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-09 01:00:00;60;8;3;1;10080.0;198720.0;3;10113;deviant
157.0;A;74.0;0.0;A10044;Add penalty;537.0;P;P;NIL;13.0;2007-10-08 01:00:00;60;10;0;1;86400.0;285120.0;4;10905;deviant
157.0;A;36.0;0.0;A10046;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-28 01:00:00;60;3;2;1;0.0;0.0;1;7823;deviant
157.0;A;36.0;0.0;A10046;Send Fine;537.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;159840.0;159840.0;2;9347;deviant
157.0;A;36.0;0.0;A10046;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-05 01:00:00;60;8;6;1;27360.0;187200.0;3;9924;deviant
157.0;A;74.0;0.0;A10046;Add penalty;537.0;P;P;NIL;13.0;2007-10-04 01:00:00;60;10;3;1;86400.0;273600.0;4;10881;deviant
157.0;A;36.0;0.0;A10047;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-28 01:00:00;60;3;2;1;0.0;0.0;1;7824;regular
157.0;A;36.0;0.0;A10047;Payment;537.0;missing;missing;NIL;0.0;2007-04-02 01:00:00;60;4;0;1;7200.0;7200.0;2;7905;regular
157.0;A;36.0;0.0;A10049;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-28 01:00:00;60;3;2;1;0.0;0.0;1;7825;regular
157.0;A;36.0;0.0;A10049;Payment;537.0;missing;missing;NIL;0.0;2007-03-30 01:00:00;60;3;4;1;2880.0;2880.0;2;7840;regular
7.0;A;22.0;0.0;A10050;Create Fine;537.0;missing;missing;NIL;0.0;2007-03-28 01:00:00;60;3;2;1;0.0;0.0;1;7826;deviant
7.0;A;22.0;0.0;A10050;Send Fine;537.0;missing;missing;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;182880.0;182880.0;2;9838;deviant
7.0;A;22.0;0.0;A10050;Insert Fine Notification;537.0;P;P;NIL;13.0;2007-08-28 01:00:00;60;8;1;1;37440.0;220320.0;3;10661;deviant
7.0;A;44.0;0.0;A10050;Add penalty;537.0;P;P;NIL;13.0;2007-10-27 01:00:00;60;10;5;1;86400.0;306720.0;4;10916;deviant
157.0;A;36.0;0.0;A10056;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-07 01:00:00;60;3;2;1;0.0;0.0;1;7759;regular
157.0;A;36.0;0.0;A10056;Payment;541.0;missing;missing;NIL;0.0;2007-03-17 01:00:00;60;3;5;1;14400.0;14400.0;2;7762;regular
157.0;A;36.0;0.0;A10059;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-08 01:00:00;60;3;3;1;0.0;0.0;1;7757;regular
157.0;A;36.0;0.0;A10059;Payment;541.0;missing;missing;NIL;0.0;2007-04-18 01:00:00;60;4;2;1;59040.0;59040.0;2;7913;regular
7.0;A;21.0;0.0;A1006;Create Fine;550.0;missing;missing;NIL;0.0;2006-08-08 01:00:00;60;8;1;1;0.0;0.0;1;11574;regular
7.0;A;21.0;0.0;A1006;Payment;550.0;missing;missing;NIL;0.0;2006-09-12 01:00:00;60;9;1;1;50400.0;50400.0;2;12549;regular
157.0;C;36.0;0.0;A10060;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-08 01:00:00;60;3;3;1;0.0;0.0;1;7758;regular
157.0;C;36.0;0.0;A10060;Payment;541.0;missing;missing;NIL;0.0;2007-03-13 01:00:00;60;3;1;1;7200.0;7200.0;2;7797;regular
157.0;A;36.0;0.0;A10061;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-08 01:00:00;60;3;3;1;0.0;0.0;1;7759;regular
157.0;A;36.0;0.0;A10061;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;188640.0;188640.0;2;9347;regular
157.0;A;36.0;0.0;A10061;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;23040.0;211680.0;3;9838;regular
157.0;A;74.0;0.0;A10061;Add penalty;541.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;86400.0;298080.0;4;10875;regular
157.0;A;74.0;0.0;A10061;Payment;541.0;P;P;NIL;13.0;2008-09-25 01:00:00;60;9;3;1;518400.0;816480.0;5;14421;regular
157.0;A;36.0;0.0;A10063;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-08 01:00:00;60;3;3;1;0.0;0.0;1;7760;deviant
157.0;A;36.0;0.0;A10063;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;188640.0;188640.0;2;9347;deviant
157.0;A;36.0;0.0;A10063;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;197280.0;3;9570;deviant
157.0;A;74.0;0.0;A10063;Add penalty;541.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;283680.0;4;10813;deviant
157.0;A;36.0;0.0;A10067;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-09 01:00:00;60;3;4;1;0.0;0.0;1;7757;deviant
157.0;A;36.0;0.0;A10067;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;187200.0;187200.0;2;9347;deviant
157.0;A;36.0;0.0;A10067;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;195840.0;3;9570;deviant
157.0;A;74.0;0.0;A10067;Add penalty;541.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;282240.0;4;10813;deviant
157.0;A;36.0;0.0;A10068;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-09 01:00:00;60;3;4;1;0.0;0.0;1;7758;deviant
157.0;A;36.0;0.0;A10068;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;187200.0;187200.0;2;9347;deviant
157.0;A;36.0;0.0;A10068;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;23040.0;210240.0;3;9838;deviant
157.0;A;74.0;0.0;A10068;Add penalty;541.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;86400.0;296640.0;4;10875;deviant
157.0;A;36.0;0.0;A10069;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-09 01:00:00;60;3;4;1;0.0;0.0;1;7759;regular
157.0;A;36.0;0.0;A10069;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;187200.0;187200.0;2;9347;regular
157.0;A;36.0;0.0;A10069;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-07-28 01:00:00;60;7;5;1;15840.0;203040.0;3;9646;regular
157.0;A;74.0;0.0;A10069;Add penalty;541.0;P;P;NIL;13.0;2007-09-26 01:00:00;60;9;2;1;86400.0;289440.0;4;10833;regular
157.0;A;74.0;0.0;A10069;Payment;541.0;P;P;NIL;13.0;2008-09-30 01:00:00;60;9;1;1;532800.0;822240.0;5;14459;regular
7.0;A;21.0;0.0;A1007;Create Fine;550.0;missing;missing;NIL;0.0;2006-08-28 01:00:00;60;8;0;1;0.0;0.0;1;12405;regular
7.0;A;21.0;0.0;A1007;Send Fine;550.0;missing;missing;NIL;11.0;2006-12-15 01:00:00;60;12;4;1;156960.0;156960.0;2;12278;regular
7.0;A;21.0;0.0;A1007;Insert Fine Notification;550.0;P;P;NIL;11.0;2007-01-07 01:00:00;60;1;6;1;33120.0;190080.0;3;12227;regular
7.0;A;42.5;0.0;A1007;Add penalty;550.0;P;P;NIL;11.0;2007-03-08 01:00:00;60;3;3;1;86400.0;276480.0;4;7761;regular
7.0;A;42.5;0.0;A1007;Payment;550.0;P;P;NIL;11.0;2007-11-30 01:00:00;60;11;4;1;384480.0;660960.0;5;10522;regular
157.0;A;36.0;0.0;A10071;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-09 01:00:00;60;3;4;1;0.0;0.0;1;7760;deviant
157.0;A;36.0;0.0;A10071;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;187200.0;187200.0;2;9347;deviant
157.0;A;36.0;0.0;A10071;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-08-02 01:00:00;60;8;3;1;23040.0;210240.0;3;9838;deviant
157.0;A;74.0;0.0;A10071;Add penalty;541.0;P;P;NIL;13.0;2007-10-01 01:00:00;60;10;0;1;86400.0;296640.0;4;10875;deviant
157.0;A;36.0;0.0;A10075;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-11 01:00:00;60;3;6;1;0.0;0.0;1;7783;deviant
157.0;A;36.0;0.0;A10075;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;184320.0;184320.0;2;9347;deviant
157.0;A;36.0;0.0;A10075;Insert Fine Notification;541.0;P;P;NIL;13.0;2007-07-23 01:00:00;60;7;0;1;8640.0;192960.0;3;9570;deviant
157.0;A;74.0;0.0;A10075;Add penalty;541.0;P;P;NIL;13.0;2007-09-21 01:00:00;60;9;4;1;86400.0;279360.0;4;10813;deviant
157.0;A;36.0;0.0;A10076;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-11 01:00:00;60;3;6;1;0.0;0.0;1;7784;regular
157.0;A;36.0;0.0;A10076;Payment;541.0;missing;missing;NIL;0.0;2007-03-12 01:00:00;60;3;0;1;1440.0;1440.0;2;7803;regular
157.0;A;36.0;0.0;A10078;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-11 01:00:00;60;3;6;1;0.0;0.0;1;7785;regular
157.0;A;36.0;0.0;A10078;Payment;541.0;missing;missing;NIL;0.0;2007-03-21 01:00:00;60;3;2;1;14400.0;14400.0;2;7822;regular
157.0;A;36.0;0.0;A10079;Create Fine;541.0;missing;missing;NIL;0.0;2007-03-11 01:00:00;60;3;6;1;0.0;0.0;1;7786;deviant
157.0;A;36.0;0.0;A10079;Send Fine;541.0;missing;missing;NIL;13.0;2007-07-17 01:00:00;60;7;1;1;184320.0;184320.0;2;9347;deviant
