Case ID;Activity;Resource;Timestamp;amount;expense;label;anomaly_type
CASE_2425;Verify Documents;clerk_sarah;2026-01-01 23:56:06;9612.71;147.45;regular;None
CASE_2184;Submit Application;customer_141;2026-01-02 00:14:00;2415.82;90.87;regular;None
CASE_2264;Submit Application;customer_898;2026-01-02 00:28:00;2309.53;85.27;regular;None
CASE_2189;Verify Documents;clerk_sarah;2026-01-02 00:32:25;1758.78;61.61;regular;None
CASE_2427;Verify Documents;clerk_dave;2026-01-02 00:40:22;8840.48;136.54;regular;None
CASE_1111;Approve Loan;manager_tom;2026-01-02 00:46:32;1511.14;82.74;regular;None
CASE_2401;Submit Application;customer_210;2026-01-02 01:00:00;3186.88;86.12;regular;None
CASE_2170;Verify Documents;clerk_sarah;2026-01-02 01:39:05;17552.11;245.7;regular;None
CASE_2666;Verify Documents;clerk_john;2026-01-02 01:57:37;1164.91;65.88;regular;None
CASE_2679;Assess Risk;underwriter_lucas;2026-01-02 02:12:57;2988.82;74.7;regular;None
CASE_1838;Submit Application;customer_478;2026-01-02 02:37:00;8770.37;109.97;regular;None
CASE_2318;Assess Risk;underwriter_lucas;2026-01-02 02:52:55;3828.34;75.0;regular;None
CASE_2264;Verify Documents;clerk_sarah;2026-01-02 03:36:05;2309.53;85.27;regular;None
CASE_2184;Verify Documents;clerk_sarah;2026-01-02 03:40:23;2415.82;90.87;regular;None
CASE_2832;Verify Documents;clerk_dave;2026-01-02 04:08:57;1973.37;69.42;regular;None
CASE_2833;Verify Documents;clerk_sarah;2026-01-02 04:34:59;4795.07;100.7;regular;None
CASE_1789;Disburse Funds;finance_bob;2026-01-02 05:10:03;3064.47;84.24;regular;None
CASE_2875;Disburse Funds;finance_bob;2026-01-02 05:10:09;1317.08;55.38;regular;None
CASE_1386;Verify Documents;clerk_john;2026-01-02 06:18:41;1065.44;43.96;regular;None
CASE_1107;Submit Application;customer_780;2026-01-02 07:05:00;3431.46;92.09;deviant;resource
CASE_2264;Assess Risk;underwriter_lucas;2026-01-02 07:12:47;2309.53;85.27;regular;None
CASE_2401;Verify Documents;clerk_dave;2026-01-02 07:13:13;3186.88;86.12;regular;None
CASE_2184;Assess Risk;underwriter_mary;2026-01-02 07:18:06;2415.82;90.87;regular;None
CASE_1684;Assess Risk;underwriter_lucas;2026-01-02 07:47:02;3794.83;97.71;regular;None
CASE_2137;Assess Risk;underwriter_paul;2026-01-02 07:49:57;13036.57;189.82;regular;None
CASE_2833;Assess Risk;underwriter_lucas;2026-01-02 08:25:01;4795.07;100.7;regular;None
CASE_1736;Assess Risk;underwriter_lucas;2026-01-02 08:34:13;6119.75;116.6;regular;None
CASE_2870;Assess Risk;underwriter_lucas;2026-01-02 08:56:01;1883.23;48.18;regular;None
CASE_1789;Close Case;system_auto;2026-01-02 09:28:00;3064.47;84.24;regular;None
CASE_2832;Assess Risk;underwriter_paul;2026-01-02 09:53:10;1973.37;69.42;regular;None
CASE_2170;Assess Risk;underwriter_lucas;2026-01-02 10:07:04;17552.11;245.7;regular;None
CASE_2679;Approve Loan;manager_alice;2026-01-02 10:07:17;2988.82;74.7;regular;None
CASE_2427;Assess Risk;underwriter_lucas;2026-01-02 10:40:13;8840.48;136.54;regular;None
CASE_1111;Disburse Funds;finance_jane;2026-01-02 10:45:50;1511.14;82.74;regular;None
CASE_2318;Approve Loan;manager_alice;2026-01-02 11:00:09;3828.34;75.0;regular;None
CASE_1838;Verify Documents;clerk_sarah;2026-01-02 11:01:46;8770.37;109.97;regular;None
CASE_2137;Approve Loan;manager_alice;2026-01-02 11:10:47;13036.57;189.82;regular;None
CASE_2833;Approve Loan;manager_alice;2026-01-02 11:12:50;4795.07;100.7;regular;None
CASE_2425;Assess Risk;underwriter_lucas;2026-01-02 11:24:45;9612.71;147.45;regular;None
CASE_2189;Assess Risk;underwriter_mary;2026-01-02 12:09:25;1758.78;61.61;regular;None
CASE_1966;Submit Application;customer_259;2026-01-02 12:33:00;12659.81;180.88;regular;None
CASE_1435;Submit Application;customer_388;2026-01-02 12:33:00;18712.35;234.99;regular;None
CASE_2679;Disburse Funds;finance_jane;2026-01-02 12:38:56;2988.82;74.7;regular;None
CASE_2318;Disburse Funds;finance_bob;2026-01-02 12:48:10;3828.34;75.0;regular;None
CASE_1717;Submit Application;customer_991;2026-01-02 12:49:00;4625.04;84.94;regular;None
CASE_2875;Close Case;system_auto;2026-01-02 12:49:13;1317.08;55.38;regular;None
CASE_2184;Approve Loan;manager_alice;2026-01-02 13:01:55;2415.82;90.87;regular;None
CASE_1901;Submit Application;customer_231;2026-01-02 13:20:00;6346.92;113.42;regular;None
CASE_1386;Assess Risk;underwriter_paul;2026-01-02 13:33:04;1065.44;43.96;regular;None
CASE_2666;Assess Risk;underwriter_mary;2026-01-02 13:46:33;1164.91;65.88;regular;None
CASE_1684;Approve Loan;manager_tom;2026-01-02 13:47:37;3794.83;97.71;regular;None
CASE_2708;Submit Application;customer_586;2026-01-02 14:19:00;16864.5;222.18;regular;None
CASE_2427;Approve Loan;manager_tom;2026-01-02 14:37:40;8840.48;136.54;regular;None
CASE_2170;Approve Loan;manager_alice;2026-01-02 15:02:51;17552.11;245.7;regular;None
CASE_1966;Verify Documents;clerk_sarah;2026-01-02 15:05:32;12659.81;180.88;regular;None
CASE_2318;Close Case;system_auto;2026-01-02 15:14:43;3828.34;75.0;regular;None
CASE_1107;Verify Documents;clerk_dave;2026-01-02 15:45:12;3431.46;92.09;deviant;resource
CASE_2679;Close Case;system_auto;2026-01-02 15:51:57;2988.82;74.7;regular;None
CASE_2427;Disburse Funds;finance_bob;2026-01-02 16:05:21;8840.48;136.54;regular;None
CASE_1838;Assess Risk;underwriter_paul;2026-01-02 16:12:09;8770.37;109.97;regular;None
CASE_1324;Submit Application;customer_327;2026-01-02 16:26:00;1749.88;72.59;regular;None
CASE_2170;Disburse Funds;finance_jane;2026-01-02 16:29:32;17552.11;245.7;regular;None
CASE_2425;Approve Loan;manager_alice;2026-01-02 16:35:01;9612.71;147.45;regular;None
CASE_1717;Verify Documents;clerk_john;2026-01-02 17:13:17;4625.04;84.94;regular;None
CASE_2870;Approve Loan;manager_tom;2026-01-02 17:34:06;1883.23;48.18;regular;None
CASE_1435;Verify Documents;clerk_sarah;2026-01-02 17:39:11;18712.35;234.99;regular;None
CASE_1684;Disburse Funds;finance_bob;2026-01-02 18:07:52;3794.83;97.71;regular;None
CASE_1386;Approve Loan;manager_tom;2026-01-02 18:13:08;1065.44;43.96;regular;None
CASE_2264;Approve Loan;manager_alice;2026-01-02 18:15:11;2309.53;85.27;regular;None
CASE_1736;Approve Loan;manager_tom;2026-01-02 18:35:27;6119.75;116.6;regular;None
CASE_2401;Assess Risk;underwriter_paul;2026-01-02 19:01:19;3186.88;86.12;regular;None
CASE_1838;Approve Loan;manager_tom;2026-01-02 19:08:48;8770.37;109.97;regular;None
CASE_1111;Close Case;system_auto;2026-01-02 19:23:53;1511.14;82.74;regular;None
CASE_1901;Verify Documents;clerk_sarah;2026-01-02 20:39:17;6346.92;113.42;regular;None
CASE_2170;Close Case;system_auto;2026-01-02 21:07:25;17552.11;245.7;regular;None
CASE_2427;Close Case;system_auto;2026-01-02 21:07:46;8840.48;136.54;regular;None
CASE_2425;Disburse Funds;finance_bob;2026-01-02 21:13:44;9612.71;147.45;regular;None
CASE_2137;Disburse Funds;finance_jane;2026-01-02 21:29:59;13036.57;189.82;regular;None
CASE_2189;Approve Loan;manager_tom;2026-01-02 21:34:15;1758.78;61.61;regular;None
CASE_2832;Approve Loan;manager_alice;2026-01-02 21:38:45;1973.37;69.42;regular;None
CASE_2066;Submit Application;customer_937;2026-01-02 21:50:00;5846.62;103.99;regular;None
CASE_1684;Close Case;system_auto;2026-01-02 22:23:28;3794.83;97.71;regular;None
CASE_2833;Disburse Funds;finance_bob;2026-01-02 22:49:19;4795.07;100.7;regular;None
CASE_2184;Disburse Funds;finance_jane;2026-01-02 22:51:30;2415.82;90.87;regular;None
CASE_1435;Assess Risk;underwriter_mary;2026-01-02 23:11:06;18712.35;234.99;regular;None
CASE_1736;Disburse Funds;finance_jane;2026-01-02 23:16:36;6119.75;116.6;regular;None
CASE_1386;Disburse Funds;finance_bob;2026-01-02 23:37:32;1065.44;43.96;regular;None
CASE_1717;Assess Risk;underwriter_paul;2026-01-02 23:42:34;4625.04;84.94;regular;None
CASE_2264;Disburse Funds;finance_bob;2026-01-02 23:44:06;2309.53;85.27;regular;None
CASE_2666;Approve Loan;manager_tom;2026-01-02 23:51:05;1164.91;65.88;regular;None
CASE_2189;Disburse Funds;finance_jane;2026-01-02 23:54:24;1758.78;61.61;regular;None
CASE_1778;Submit Application;customer_801;2026-01-02 23:59:00;1956.46;72.39;regular;None
CASE_2708;Verify Documents;clerk_john;2026-01-03 00:15:46;16864.5;222.18;regular;None
CASE_1966;Assess Risk;underwriter_mary;2026-01-03 00:28:39;12659.81;180.88;regular;None
CASE_1563;Submit Application;customer_773;2026-01-03 00:37:00;9499.49;154.5;regular;None
CASE_1435;Approve Loan;manager_alice;2026-01-03 01:18:42;18712.35;234.99;regular;None
CASE_1324;Verify Documents;clerk_john;2026-01-03 01:35:57;1749.88;72.59;regular;None
CASE_1107;Assess Risk;underwriter_lucas;2026-01-03 02:06:16;3431.46;92.09;deviant;resource
CASE_2842;Submit Application;customer_418;2026-01-03 02:15:00;4465.33;102.1;deviant;resource
CASE_2708;Assess Risk;underwriter_lucas;2026-01-03 02:26:21;16864.5;222.18;regular;None
CASE_2542;Submit Application;customer_232;2026-01-03 02:28:00;1916.56;52.14;regular;None
CASE_1778;Verify Documents;clerk_dave;2026-01-03 02:36:06;1956.46;72.39;regular;None
CASE_1736;Close Case;system_auto;2026-01-03 02:56:13;6119.75;116.6;regular;None
CASE_2425;Close Case;system_auto;2026-01-03 03:01:26;9612.71;147.45;regular;None
CASE_1692;Submit Application;customer_486;2026-01-03 03:06:00;2330.99;83.62;regular;None
CASE_1878;Submit Application;customer_134;2026-01-03 03:17:00;1605.73;61.79;regular;None
CASE_2264;Close Case;system_auto;2026-01-03 03:18:22;2309.53;85.27;regular;None
CASE_2870;Disburse Funds;finance_bob;2026-01-03 03:22:57;1883.23;48.18;regular;None
CASE_2401;Approve Loan;manager_alice;2026-01-03 03:50:34;3186.88;86.12;regular;None
CASE_2666;Disburse Funds;finance_bob;2026-01-03 04:04:34;1164.91;65.88;regular;None
CASE_2542;Verify Documents;clerk_john;2026-01-03 04:08:23;1916.56;52.14;regular;None
CASE_1717;Approve Loan;manager_tom;2026-01-03 04:09:38;4625.04;84.94;regular;None
CASE_1386;Close Case;system_auto;2026-01-03 04:38:40;1065.44;43.96;regular;None
CASE_2833;Close Case;system_auto;2026-01-03 05:07:33;4795.07;100.7;regular;None
CASE_1901;Assess Risk;underwriter_mary;2026-01-03 05:12:14;6346.92;113.42;regular;None
CASE_1778;Assess Risk;underwriter_paul;2026-01-03 05:15:15;1956.46;72.39;regular;None
CASE_1771;Submit Application;customer_538;2026-01-03 05:30:00;7686.26;127.49;regular;None
CASE_2184;Close Case;system_auto;2026-01-03 05:44:46;2415.82;90.87;regular;None
CASE_2066;Verify Documents;clerk_john;2026-01-03 06:06:46;5846.62;103.99;regular;None
CASE_1072;Submit Application;customer_611;2026-01-03 06:10:00;1473.15;59.8;deviant;temporal
CASE_2137;Close Case;system_auto;2026-01-03 06:20:11;13036.57;189.82;regular;None
CASE_2542;Assess Risk;underwriter_paul;2026-01-03 06:24:23;1916.56;52.14;regular;None
CASE_2189;Close Case;system_auto;2026-01-03 06:31:31;1758.78;61.61;regular;None
CASE_1838;Disburse Funds;finance_bob;2026-01-03 06:32:20;8770.37;109.97;regular;None
CASE_2842;Verify Documents;clerk_dave;2026-01-03 06:45:29;4465.33;102.1;deviant;resource
CASE_1717;Disburse Funds;finance_jane;2026-01-03 06:56:12;4625.04;84.94;regular;None
CASE_2832;Disburse Funds;finance_jane;2026-01-03 06:58:50;1973.37;69.42;regular;None
CASE_2401;Disburse Funds;finance_bob;2026-01-03 06:59:51;3186.88;86.12;regular;None
CASE_2666;Close Case;system_auto;2026-01-03 07:05:47;1164.91;65.88;regular;None
CASE_1811;Submit Application;customer_932;2026-01-03 07:15:00;11330.57;169.54;regular;None
CASE_1107;Approve Loan;underwriter_mary;2026-01-03 07:28:46;3431.46;92.09;deviant;resource
CASE_1435;Disburse Funds;finance_bob;2026-01-03 07:50:56;18712.35;234.99;regular;None
CASE_1966;Approve Loan;manager_alice;2026-01-03 08:02:09;12659.81;180.88;regular;None
CASE_1692;Verify Documents;clerk_john;2026-01-03 08:19:26;2330.99;83.62;regular;None
CASE_1964;Submit Application;customer_922;2026-01-03 08:24:00;2763.68;88.14;regular;None
CASE_1502;Submit Application;customer_219;2026-01-03 08:25:00;17483.11;236.92;regular;None
CASE_2066;Assess Risk;underwriter_mary;2026-01-03 08:46:27;5846.62;103.99;regular;None
CASE_1811;Verify Documents;clerk_john;2026-01-03 08:52:32;11330.57;169.54;regular;None
CASE_2708;Approve Loan;manager_alice;2026-01-03 08:53:57;16864.5;222.18;regular;None
CASE_1563;Verify Documents;clerk_john;2026-01-03 09:04:40;9499.49;154.5;regular;None
CASE_1502;Verify Documents;clerk_dave;2026-01-03 09:33:46;17483.11;236.92;regular;None
CASE_2401;Close Case;system_auto;2026-01-03 09:53:57;3186.88;86.12;regular;None
CASE_1838;Close Case;system_auto;2026-01-03 10:05:38;8770.37;109.97;regular;None
CASE_1771;Verify Documents;clerk_john;2026-01-03 10:10:28;7686.26;127.49;regular;None
CASE_2870;Close Case;system_auto;2026-01-03 10:20:43;1883.23;48.18;regular;None
CASE_1324;Assess Risk;underwriter_mary;2026-01-03 10:56:05;1749.88;72.59;regular;None
CASE_1505;Submit Application;customer_256;2026-01-03 11:10:00;1351.24;67.6;regular;None
CASE_2842;Assess Risk;underwriter_lucas;2026-01-03 11:11:15;4465.33;102.1;deviant;resource
CASE_1811;Assess Risk;underwriter_mary;2026-01-03 11:16:10;11330.57;169.54;regular;None
CASE_1878;Verify Documents;clerk_dave;2026-01-03 11:24:09;1605.73;61.79;regular;None
CASE_1901;Approve Loan;manager_tom;2026-01-03 11:33:05;6346.92;113.42;regular;None
CASE_1500;Submit Application;customer_777;2026-01-03 11:47:00;8567.13;138.34;regular;None
CASE_2066;Approve Loan;manager_alice;2026-01-03 12:09:40;5846.62;103.99;regular;None
CASE_2554;Submit Application;customer_510;2026-01-03 12:21:00;1777.88;53.52;regular;None
CASE_1563;Assess Risk;underwriter_lucas;2026-01-03 12:41:21;9499.49;154.5;regular;None
CASE_1778;Approve Loan;manager_alice;2026-01-03 13:06:57;1956.46;72.39;regular;None
CASE_2296;Submit Application;customer_138;2026-01-03 13:08:00;1265.26;80.84;regular;None
CASE_1324;Approve Loan;manager_tom;2026-01-03 13:52:57;1749.88;72.59;regular;None
CASE_1964;Verify Documents;clerk_john;2026-01-03 14:01:12;2763.68;88.14;regular;None
CASE_1717;Close Case;system_auto;2026-01-03 14:16:42;4625.04;84.94;regular;None
CASE_2842;Approve Loan;clerk_dave;2026-01-03 15:13:36;4465.33;102.1;deviant;resource
CASE_1811;Approve Loan;manager_tom;2026-01-03 15:22:41;11330.57;169.54;regular;None
CASE_2542;Approve Loan;manager_tom;2026-01-03 15:47:06;1916.56;52.14;regular;None
CASE_1502;Assess Risk;underwriter_lucas;2026-01-03 15:48:40;17483.11;236.92;regular;None
CASE_2708;Disburse Funds;finance_jane;2026-01-03 16:23:09;16864.5;222.18;regular;None
CASE_2842;Disburse Funds;finance_bob;2026-01-03 16:25:44;4465.33;102.1;deviant;resource
CASE_1901;Disburse Funds;finance_bob;2026-01-03 17:11:55;6346.92;113.42;regular;None
CASE_1859;Submit Application;customer_569;2026-01-03 17:17:00;1865.27;76.43;regular;None
CASE_2832;Close Case;system_auto;2026-01-03 17:19:33;1973.37;69.42;regular;None
CASE_1778;Disburse Funds;finance_jane;2026-01-03 17:27:22;1956.46;72.39;regular;None
CASE_2066;Disburse Funds;finance_bob;2026-01-03 17:27:55;5846.62;103.99;regular;None
CASE_1435;Close Case;system_auto;2026-01-03 17:35:42;18712.35;234.99;regular;None
CASE_1878;Assess Risk;underwriter_mary;2026-01-03 17:40:07;1605.73;61.79;regular;None
CASE_2690;Submit Application;customer_987;2026-01-03 17:42:00;18728.38;254.52;regular;None
CASE_1500;Verify Documents;clerk_john;2026-01-03 17:52:30;8567.13;138.34;regular;None
CASE_1692;Assess Risk;underwriter_lucas;2026-01-03 18:24:57;2330.99;83.62;regular;None
CASE_1966;Disburse Funds;finance_jane;2026-01-03 18:33:56;12659.81;180.88;regular;None
CASE_1964;Assess Risk;underwriter_paul;2026-01-03 18:55:17;2763.68;88.14;regular;None
CASE_1107;Disburse Funds;finance_bob;2026-01-03 19:07:44;3431.46;92.09;deviant;resource
CASE_1778;Close Case;system_auto;2026-01-03 19:10:00;1956.46;72.39;regular;None
CASE_1029;Submit Application;customer_789;2026-01-03 19:21:00;7528.31;134.16;regular;None
CASE_2554;Verify Documents;clerk_john;2026-01-03 19:39:35;1777.88;53.52;regular;None
CASE_2567;Submit Application;customer_396;2026-01-03 19:54:00;10107.91;136.39;regular;None
CASE_1512;Submit Application;customer_367;2026-01-03 19:56:00;1111.86;59.81;regular;None
CASE_1854;Submit Application;customer_899;2026-01-03 20:05:00;2029.6;68.37;regular;None
CASE_1811;Disburse Funds;finance_bob;2026-01-03 20:13:28;11330.57;169.54;regular;None
CASE_1505;Verify Documents;clerk_sarah;2026-01-03 20:17:35;1351.24;67.6;regular;None
CASE_2542;Disburse Funds;finance_jane;2026-01-03 20:22:48;1916.56;52.14;regular;None
CASE_1859;Verify Documents;clerk_sarah;2026-01-03 20:30:45;1865.27;76.43;regular;None
CASE_1502;Approve Loan;manager_tom;2026-01-03 21:16:02;17483.11;236.92;regular;None
CASE_2066;Close Case;system_auto;2026-01-03 21:26:42;5846.62;103.99;regular;None
CASE_2164;Submit Application;customer_378;2026-01-03 21:30:00;1074.01;45.49;regular;None
CASE_1901;Close Case;system_auto;2026-01-03 21:31:52;6346.92;113.42;regular;None
CASE_1029;Verify Documents;clerk_sarah;2026-01-03 21:33:20;7528.31;134.16;regular;None
CASE_1771;Assess Risk;underwriter_mary;2026-01-03 21:53:33;7686.26;127.49;regular;None
CASE_2567;Verify Documents;clerk_john;2026-01-03 22:32:46;10107.91;136.39;regular;None
CASE_2554;Assess Risk;underwriter_mary;2026-01-03 23:01:50;1777.88;53.52;regular;None
CASE_1395;Submit Application;customer_107;2026-01-03 23:05:00;9043.57;140.13;deviant;mixed
CASE_1563;Approve Loan;manager_tom;2026-01-03 23:08:05;9499.49;154.5;regular;None
CASE_2296;Verify Documents;clerk_john;2026-01-03 23:29:34;1265.26;80.84;regular;None
CASE_2542;Close Case;system_auto;2026-01-03 23:29:59;1916.56;52.14;regular;None
CASE_1966;Close Case;system_auto;2026-01-03 23:39:15;12659.81;180.88;regular;None
CASE_2291;Submit Application;customer_819;2026-01-03 23:50:00;1127.58;75.72;regular;None
CASE_2842;Close Case;system_auto;2026-01-04 00:04:30;4465.33;102.1;deviant;resource
CASE_1324;Disburse Funds;finance_jane;2026-01-04 00:25:16;1749.88;72.59;regular;None
CASE_1771;Approve Loan;manager_alice;2026-01-04 00:46:14;7686.26;127.49;regular;None
CASE_1512;Verify Documents;clerk_john;2026-01-04 00:51:38;1111.86;59.81;regular;None
CASE_1107;Close Case;system_auto;2026-01-04 01:34:15;3431.46;92.09;deviant;resource
CASE_1502;Disburse Funds;finance_jane;2026-01-04 01:35:53;17483.11;236.92;regular;None
CASE_1478;Submit Application;customer_741;2026-01-04 01:41:00;1455.02;47.06;deviant;mixed
CASE_2708;Close Case;system_auto;2026-01-04 01:46:02;16864.5;222.18;regular;None
CASE_1395;Verify Documents;clerk_john;2026-01-04 02:03:24;9043.57;140.13;deviant;mixed
CASE_2164;Verify Documents;clerk_dave;2026-01-04 02:06:34;1074.01;45.49;regular;None
CASE_2554;Approve Loan;manager_alice;2026-01-04 02:33:27;1777.88;53.52;regular;None
CASE_2012;Submit Application;customer_670;2026-01-04 03:03:00;1417.89;69.3;regular;None
CASE_2567;Assess Risk;underwriter_paul;2026-01-04 03:40:43;10107.91;136.39;regular;None
CASE_1512;Assess Risk;underwriter_lucas;2026-01-04 03:46:57;1111.86;59.81;regular;None
CASE_1563;Disburse Funds;finance_bob;2026-01-04 03:55:00;9499.49;154.5;regular;None
CASE_1733;Submit Application;customer_521;2026-01-04 03:59:00;3832.55;88.87;regular;None
CASE_1395;Approve Loan;clerk_john;2026-01-04 04:02:14;9043.57;140.13;deviant;mixed
CASE_1500;Assess Risk;underwriter_mary;2026-01-04 04:08:49;8567.13;138.34;regular;None
CASE_2690;Verify Documents;clerk_john;2026-01-04 04:30:53;18728.38;254.52;regular;None
CASE_2012;Verify Documents;clerk_sarah;2026-01-04 04:42:02;1417.89;69.3;regular;None
CASE_1854;Verify Documents;clerk_sarah;2026-01-04 04:50:07;2029.6;68.37;regular;None
CASE_1029;Assess Risk;underwriter_lucas;2026-01-04 04:58:34;7528.31;134.16;regular;None
CASE_1964;Approve Loan;manager_tom;2026-01-04 05:07:24;2763.68;88.14;regular;None
CASE_1512;Approve Loan;manager_alice;2026-01-04 05:08:03;1111.86;59.81;regular;None
CASE_1478;Verify Documents;clerk_dave;2026-01-04 05:11:56;1455.02;47.06;deviant;mixed
CASE_1878;Approve Loan;manager_tom;2026-01-04 05:37:18;1605.73;61.79;regular;None
CASE_1692;Approve Loan;manager_alice;2026-01-04 05:41:51;2330.99;83.62;regular;None
CASE_2554;Disburse Funds;finance_jane;2026-01-04 05:43:38;1777.88;53.52;regular;None
CASE_1825;Submit Application;customer_978;2026-01-04 05:54:00;7401.95;103.08;regular;None
CASE_1500;Approve Loan;manager_tom;2026-01-04 06:03:47;8567.13;138.34;regular;None
CASE_1733;Verify Documents;clerk_dave;2026-01-04 06:07:25;3832.55;88.87;regular;None
CASE_2164;Assess Risk;underwriter_lucas;2026-01-04 06:24:57;1074.01;45.49;regular;None
CASE_2012;Assess Risk;underwriter_mary;2026-01-04 06:45:03;1417.89;69.3;regular;None
CASE_2437;Submit Application;customer_747;2026-01-04 07:03:00;30359.27;367.05;deviant;mixed
CASE_1478;Approve Loan;clerk_dave;2026-01-04 07:10:40;1455.02;47.06;deviant;mixed
CASE_2291;Verify Documents;clerk_dave;2026-01-04 07:18:29;1127.58;75.72;regular;None
CASE_2371;Submit Application;customer_650;2026-01-04 07:53:00;6239.44;92.04;regular;None
CASE_1505;Assess Risk;underwriter_paul;2026-01-04 07:53:44;1351.24;67.6;regular;None
CASE_1859;Assess Risk;underwriter_lucas;2026-01-04 08:10:28;1865.27;76.43;regular;None
CASE_1811;Close Case;system_auto;2026-01-04 08:12:12;11330.57;169.54;regular;None
CASE_1771;Disburse Funds;finance_jane;2026-01-04 08:18:16;7686.26;127.49;regular;None
CASE_2826;Submit Application;customer_168;2026-01-04 08:57:00;4885.9;104.94;regular;None
CASE_1324;Close Case;system_auto;2026-01-04 08:59:15;1749.88;72.59;regular;None
CASE_2278;Submit Application;customer_484;2026-01-04 09:04:00;8114.9;131.48;regular;None
CASE_2691;Submit Application;customer_230;2026-01-04 09:05:00;1354.53;68.54;regular;None
CASE_1505;Approve Loan;manager_tom;2026-01-04 09:06:42;1351.24;67.6;regular;None
CASE_1692;Disburse Funds;finance_bob;2026-01-04 09:25:45;2330.99;83.62;regular;None
CASE_1878;Disburse Funds;finance_bob;2026-01-04 09:38:16;1605.73;61.79;regular;None
CASE_1475;Submit Application;customer_756;2026-01-04 09:41:00;1693.52;72.77;regular;None
CASE_1512;Disburse Funds;finance_bob;2026-01-04 09:50:57;1111.86;59.81;regular;None
CASE_1502;Close Case;system_auto;2026-01-04 10:11:43;17483.11;236.92;regular;None
CASE_1500;Disburse Funds;finance_jane;2026-01-04 10:30:59;8567.13;138.34;regular;None
CASE_2296;Assess Risk;underwriter_lucas;2026-01-04 10:57:29;1265.26;80.84;regular;None
CASE_2554;Close Case;system_auto;2026-01-04 11:52:49;1777.88;53.52;regular;None
CASE_1563;Close Case;system_auto;2026-01-04 11:57:46;9499.49;154.5;regular;None
CASE_2567;Approve Loan;manager_tom;2026-01-04 12:08:56;10107.91;136.39;regular;None
CASE_2437;Verify Documents;clerk_john;2026-01-04 12:26:32;30359.27;367.05;deviant;mixed
CASE_1475;Verify Documents;clerk_sarah;2026-01-04 12:42:16;1693.52;72.77;regular;None
CASE_2826;Verify Documents;clerk_john;2026-01-04 13:08:07;4885.9;104.94;regular;None
CASE_1692;Close Case;system_auto;2026-01-04 13:22:24;2330.99;83.62;regular;None
CASE_1854;Assess Risk;underwriter_lucas;2026-01-04 14:16:14;2029.6;68.37;regular;None
